author,year,intervention_name,scale_name,delay,paper_title,coder,lab_or_field,lab_field,program_name,publication_type,origin,setting,stage_in_life,mean_age,participant_sex,percent_of_male,percent_dominant_racial_or_ethnic_group,country,state,number_of_participant,type_of_control,intervention_description,brief_description_of_the_intervention,delivery_of_treatment,intervention_length,time_intervention_took,additional_contact,stated_purpose_of_the_intervention,intervention_description,stated_purpose,condition_gender,n_items,contains_randomization,partial_analysis,study_design,is_primary,scale_type,type_of_at_risk_population,n_conditions,n_c_pre,n_c_post,n_t_pre,n_t_post,n_t_group,n_c_group,cluster_type,eff_type,u_s_d,anticipated_direction,ctrl_sd,page_number,comments,d,var_d,se_d,checked,checker_comment,is_red,eliminiate,authors department/education in case belongs to center,lead author department/training,alex comments,
jodine,1993,video,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,45,NA,USA,-,73,1,1,"The videotape ""Campus Rape"" was shown to participants. Components of the film include facts regarding prevalence of the problem on campus, societal factors influencing myths related to rape, the role of alcohol in many cases of sexual assault, communication patterns between men and women that may contribute to the problem, and the necessity of support and treatment for victims of the crime.",4,1,~60 minutes,0,"1,2,3,8",1,"1,2,3,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,36,36,-,-,n groups,d.i.d,-0.6100,1,7.2960,68,NA,,,,Roni ,,Loading...,,education,education,,
jodine,1993,video,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,45,NA,USA,-,73,1,1,"The videotape ""Campus Rape"" was shown to participants. Components of the film include facts regarding prevalence of the problem on campus, societal factors influencing myths related to rape, the role of alcohol in many cases of sexual assault, communication patterns between men and women that may contribute to the problem, and the necessity of support and treatment for victims of the crime.",4,1,~60 minutes,0,"1,2,3,8",1,"1,2,3,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,36,36,-,-,n groups,d.i.d,0.0000,0,7.2960,68,NA,,,,Roni ,,Loading...,,,,,
jodine,1993,role play,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,52,NA,USA,-,69,1,1,"Three dramatic scenarios in which participants took an active part. The three scenarios used for the role plays in this study included all of the recommended components for educational programs about sexual assault on campus. Sex roles and societal and peer pressure, myths and facts about responsibility for sexual aggression, patterns of communication and the necessity of assertiveness, alcohol, and the effects of rape on the victim and the need for support all were designed specifically as part of the role play presentations.",3,1,~60 minutes,0,"1,2,3,7,8",1,"1,2,3,7,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,32,32,-,-,n groups,d.i.d,-2.5700,1,7.2960,68,NA,,,,Roni ,,Loading...,,,,,
jodine,1993,role play,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,52,NA,USA,-,69,1,1,"Three dramatic scenarios in which participants took an active part. The three scenarios used for the role plays in this study included all of the recommended components for educational programs about sexual assault on campus. Sex roles and societal and peer pressure, myths and facts about responsibility for sexual aggression, patterns of communication and the necessity of assertiveness, alcohol, and the effects of rape on the victim and the need for support all were designed specifically as part of the role play presentations.",3,1,~60 minutes,0,"1,2,3,7,8",1,"1,2,3,7,8",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,32,32,-,-,n groups,d.i.d,1.1900,-1,7.2960,68,NA,,,,Roni ,,Loading...,,,,,
jodine,1993,lecture,General Attitudes Toward Rape,36,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,54,NA,USA,-,64,1,1,"Lecture that offered the facts regarding the extent of the problem of sexual assault on college campuses across the country and in the state. Effort was put against perception of the presentation as ""male-bashing."" A detailed definition of sexual assault was given as well as factors that contribute to it on college campuses. Acquaintance rape was described and an overview of available resources and support was given.",1,1,~60 minutes,0,"1,2,3,8,9",1,"1,2,3,8,9",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,27,27,-,-,n groups,d.i.d,-1.9000,1,7.2960,68,NA,,,,Roni ,,Loading...,,,,,
jodine,1993,lecture,General Attitudes Toward Rape,70,The Effects of Educational Programs About Rape on the Attitudes of First Year Urban University Students,Matej,0,lab,-,4,1,3,3,20,3,54,NA,USA,-,64,1,1,"Lecture that offered the facts regarding the extent of the problem of sexual assault on college campuses across the country and in the state. Effort was put against perception of the presentation as ""male-bashing."" A detailed definition of sexual assault was given as well as factors that contribute to it on college campuses. Acquaintance rape was described and an overview of available resources and support was given.",1,1,~60 minutes,0,"1,2,3,8,9",1,"1,2,3,8,9",both,22,NA,NA,rct,TRUE,attitudes,-,4,37,37,27,27,-,-,n groups,d.i.d,-0.8500,1,7.2960,68,NA,,,,Roni ,,Loading...,,,,,
nagler,1993,date rape workshop,rape myth acceptance,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,7,4,24,3,60,70.59,USA,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,19,NA,NA,rct,FALSE,attitudes,-,2,85,62,85,64,-,-,,d.i.m,-1.1300,-1,9.4800,p.63table4,NA,,,,Roni ,"SETH: I changed the coding of this study a lot. first, they're not college students, they're medical students, which makes them adults (changed stage_in_life); the average age of a medical student is 24 (changed that); and the SES vict/perp questions in the survey are *phrased differently for men and women* to elicit responses about aggression and victimization, so I changed the responses to be sex-specific and the Ns accordingly",Loading...,,,,,
nagler,1993,date rape workshop,SES - perpetration,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,7,4,24,1,100,70.59,USA,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,10,NA,NA,rct,FALSE,behavior,-,2,51,28,51,41,-,-,,d_i_p,-0.0258,1,0.4556,94,NA,,,,need to check again for converting chi square into d - JH (SETH: we can just do d_i_p), ,Loading...,,,,,
nagler,1993,date rape workshop,SES - victimization,21,"Effect of an acquaintance rape prevention program on rape attitudes, knowledge, intent and sexual assault reporting",Anne,0,lab,-,4,2,7,4,24,2,100,70.59,USA,NY,170,2,1,"The 3-hour workshop run by male and female co-leaders followed ""Parrot's Sexual Assault and Acquaintance Rape Prevention Manual,"" consisting of group activities, discussion, lecture, a film, and a handout to address its objectives. The 5 objectives of the workshop were: 1) understand acquaintance rape, 2) explore feelings about acquaintance rape, 3) explore cultural forces that contribute to acquaintance rape and sexual assault, 4) understand the contribution of inconsistent communication patters, and 5) identify prevention strategies. The workshop was co-ed, with some activities completed in single-sex groups.","2,4,6",1,180 minutes,0,"1,2,5,9",NA,"1,2,5,9",both,10,NA,NA,rct,FALSE,behavior,-,2,34,34,34,23,-,-,,d_i_p,0.0497,-1,0.4949,96,NA,,,,need to check again for converting chi square into d - JH (SETH: we can just do d_i_p), ,Loading...,,,,,
dallager,1993,human sexuality course,rape myth acceptance,0,Effects of a Human Sexuality Course on Attitudes Toward Rape and Violence,jh,1,field,-,1,1,3,3,22,3,0.324137931,0.9172413793,USA,midwest,145,2,0.5,"learned about sex, sti's, birth control, sexual misuse, sexual oppression",2,84,,0,11,NA,11,both,19,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,48,,97,1,1,cluster randomized,f.test,7.1700,1,-,7,NA,0.47,0.03,0.18,,,Loading...,,,,,
hanson,1993,sexual assault prevention program,SES victimization,7,Evaluation of a Sexual Assault Prevention Program,Manna,lab,lab,NA,1,1,3,3,26.78,2,0,94,USA,Ohio,360,2,1,"The specific content of the program was as follows: Initially, subjects were provided with statistics about the pervasiveness of sexual assault on college campuses. After the presentation of this information, subjects were given the Rape Myths and Facts Worksheet and allotted time to complete it. Afte that, subjects viewed a video depicting events leading up to an acquaintance rape that occurs during a college party. Following, the presenter asked a series of questions about possible protective measures that might have been helpful in avoiding the depicted acquaintance rape. After a discussion, subjects viewed a second video (with the same characters as the first) that modeled possible protective behaviors. Following a discussion of these protective behaviors, subjects were given the Preventive Strategies Information Sheet. Before concluding the session, the presenter entertained questions about information presented in the pro- gram and about sexual assault in general. On completion of the study, subjects were given the names of local agencies that could provide addi- tional information about sexual assault and could give assistance if needed.","1,2,4,6",9,,0,"2,9",NA,"2,9",female,10,NA,NA,quasi-experimental,FALSE,behavior,-,2,,164,,180,-,-,-,d.i.m,0.0853,1,0.6580,5,NA,0.13,0.01,0.11,,,Loading...,,,,,
hanson,1993,sexual assault prevention program,sexual assault awareness survey,7,Evaluation of a Sexual Assault Prevention Program,Manna,lab,lab,NA,1,1,3,3,26.78,2,0,94,USA,Ohio,360,2,1,"The specific content of the program was as follows: Initially, subjects were provided with statistics about the pervasiveness of sexual assault on college campuses. After the presentation of this information, subjects were given the Rape Myths and Facts Worksheet and allotted time to complete it. Afte that, subjects viewed a video depicting events leading up to an acquaintance rape that occurs during a college party. Following, the presenter asked a series of questions about possible protective measures that might have been helpful in avoiding the depicted acquaintance rape. After a discussion, subjects viewed a second video (with the same characters as the first) that modeled possible protective behaviors. Following a discussion of these protective behaviors, subjects were given the Preventive Strategies Information Sheet. Before concluding the session, the presenter entertained questions about information presented in the pro- gram and about sexual assault in general. On completion of the study, subjects were given the names of local agencies that could provide addi- tional information about sexual assault and could give assistance if needed.","1,2,4,6",9,,0,"2,9",NA,"2,9",female,?,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,164,,180,-,-,-,f.test,5.3800,1,-,4,"have SES, but split it up by past victimization",0.25,0.01,0.11,,,Loading...,,,,,
kline,1993,workshop,Attitudes towards rape victims,0,The effects of a structured-group Rape Prevention Program on selected male personality correlates of abuse toward women,Anne,0,lab,NA,4,2,3,3,NA,"3, 4",48.87218045,NA,US,PA,133,1,1,"The program was taught as a class over 12 weeks (there were 11 2-hour blocks) during the fall semester. There were 2 all-female groups and 1 all-male group, 3 coed groups as well as 2 control groups. All 11 sessions began with a didactic component consisting of a brief lecture or film followed by a structured group exercise. The topics of the sessions dealt with issues in male psychology: 1) meaning of masculinity 2) men's difficulty expressing feelings 3) friendship between men 4) relationship with fathers 5) issues in handling anger appropriately 6) male and female sex-role stereotypes 7) society's definition of masculinity 8) negative consequences of men's stereotypes 9) exploration of how members of the opposite sex can be hurtful to each other 10) date-rape dynamics and 11) male liberation from stereotypes of masculinity. Lectures are included in the appendices.","1,2",11,,0,1,NA,1,both,25,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,47,,86,6,2,n groups,d.i.d,-2.3380,1,11.1100,253,NA,-0.21,0.03,0.18,,,Loading...,,,,,
schwartz,1993,program,Attitudes Towards Rape,49,We're talking but are they listening? The retention of information from sexual assault programming for college students,jh,1,field,-,1,1,3,3,NA,3,0.34,0.97,USA,midwest,376,1,0.5,50-minute program covering the five most common rape myths on a college campus,2,0,,0,"8, 9",NA,"8, 9",both,10,NA,NA,quasi-experimental,FALSE,attitudes,-,2,,180,,167,10.5,10.5,cluster randomized,d.i.d,1.5500,1,5.2400,4,NA,0.30,0.18,0.42,,,Loading...,,,,,
wolford,1993,videotape,General Attitudes Toward Rape,42,The effects of educational programs about rape on the attitudes of first year urban university students,jh,0,lab,Campus Rape,4,1,3,3,NA,NA,0.513,NA,USA,NA,1546,1,1,"Two popular characters teach facts regarding prevalence on campus, societal factors influencing myths related to rape, and the role of alcohol",4,NA,,0,"3, 9, 8, 10",NA,"3, 9, 8, 10",both,23,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,37,,36,-,-,-,d.i.d,-0.6018,1,9.0500,54,NA,-0.07,0.05,0.23,,,Loading...,,,,,
wolford,1993,videotape,General Attitudes Toward Rape,105,The effects of educational programs about rape on the attitudes of first year urban university students,jh,0,lab,Campus Rape,4,1,3,3,NA,NA,0.513,NA,USA,NA,1546,1,1,"Two popular characters teach facts regarding prevalence on campus, societal factors influencing myths related to rape, and the role of alcohol",4,NA,,0,"3, 9, 8, 10",NA,"3, 9, 8, 10",both,23,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,37,,36,-,-,-,d.i.d,0.0030,-1,9.0500,54,NA,0.00,0.05,0.23,,,Loading...,,,,,
wolford,1993,role play,General Attitudes Toward Rape,98,The effects of educational programs about rape on the attitudes of first year urban university students,jh,0,lab,NA,4,1,3,3,NA,NA,0.513,NA,USA,NA,1546,1,1,three scenarios in which subjects took an active part,5,NA,,0,"9, 8, 10",NA,"9, 8, 10",both,23,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,37,,32,-,-,-,d.i.d,1.2989,-1,9.0500,54,NA,0.14,0.06,0.24,,,Loading...,,,,,
wolford,1993,role play,General Attitudes Toward Rape,35,The effects of educational programs about rape on the attitudes of first year urban university students,jh,0,lab,NA,4,1,3,3,NA,NA,0.513,NA,USA,NA,1546,1,1,three scenarios in which subjects took an active part,5,NA,,0,"9, 8, 10",NA,"9, 8, 10",both,23,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,37,,32,-,-,-,d.i.d,-2.5650,1,9.0500,54,NA,-0.28,0.06,0.24,,,Loading...,,,,,
wolford,1993,lecture,General Attitudes Toward Rape,41,The effects of educational programs about rape on the attitudes of first year urban university students,jh,0,lab,NA,4,1,3,3,NA,NA,0.513,NA,USA,NA,1546,1,1,"Presentation began with facts regarding extent of problem on campus, definition of sexual assault was offered",1,NA,,0,11,NA,11,both,23,NA,NA,quasi-experimental,FALSE,attitudes,-,4,,37,,27,-,-,-,d.i.d,-1.8960,1,9.0500,54,NA,-0.21,0.06,0.25,,,Loading...,,,,,
