author,year,coder,intervention name,title,publication type,origin,program name,number of participant,mean age,participant sex,% of male,stage in life,setting,% dominant racial or ethnic group,country,state,lab or field,type of control,intrevention description,brief description of the intervention,delivery of treatment,intervention length,additional contact,states purpose of the intervention,_file,stated purpose of the intervention,number of participants,intervention description,states purpose of the intervention...26,stated_purpose
Schewe,1993,Anne,post,Sexual abuse prevention with high-risk males: the roles of victim empathy and rape myths,1,2,NA,55,NA,1,100,3,3,NA,US,IL,0,3,0.5,The victim-empathy group watched a 45-minute video presentation designed to facilitate empathy toward victims of sexual abuse. Subjects were then guided through scenarios in which they were to imagine themselves as the victim. The video did not try to dispel rape myths or to give facts; the sole emphasis was to present the cognitive and emotional perspective of victims. Subjects watched the videos in small groups of 2-5 individuals. This was compared with the facts-based treatment group.,4,1,0,NA,4,"1,4,6",NA,NA,NA,"1,4,6"
Schewe,1993,Anne,post,Sexual abuse prevention with high-risk males: the roles of victim empathy and rape myths,1,2,NA,55,NA,1,100,3,3,NA,US,IL,0,1,0.5,"The rape myths/rape facts treatment group watched a 45-minute video pointin to the importance of knowledge in preventing sexual victimization. They received a variety of facts about rape, sexual harrassment, and child abuse to increase knowledge. Subjects watched the videos in small groups of 2-5 individuals. This was compared with the no-treatment group.",4,1,0,NA,4,"1,4,9",NA,NA,NA,"1,4,9"
Frazier,1994,Arielle,treatment and control,Evaluation of a Coeducational Interactive Rape Prevention Program,1,1,NA,192,21,3,39.0625,3,3,97,USA,NA,0,1,0.5,dramaticized performance on acquiantance rape followed by a reenactment without rape based on audience feedback,"3,5",1,0,"1,3,5,10",5,NA,NA,NA,NA,"1,3,5,10"
Bonate,1995,Matej,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
Cohen,1995,Matej,Workshop A: Empowerment Model,Evaluation of Workshops to Counter Sexual Harassment,4,2,NA,NA,21.1,3,40.4,3,3,73,USA,MO,1,1,NA,"Workshop A was designed in consultation with Sharon Welch and Pack Matthews using as a basic outline the generic workshop design from the Equity Institute, San
Francisco, CA. According to this model, which is based on the empowerment ideas of
Sherover-Marcuse (1986), every workshop, regardless o f length, should contain the
following basic components: needs assessment, climate setting, experiential component,
didactic component, action component, closure component, and evaluation.
Needs assessment took place informally prior to the workshop by establishing the
desire of the UMC Residential Life department to offer a sexual harassment workshop,
and by review of research which indicates that sexual harassment is a pervasive problem
on campuses throughout the country. Climate setting activities, which are designed to put
the audience at ease, included establishment of facilitator credibility by informative
introductions; a playful warm-up activity designed to build trust and a risk-taking
atmosphere; and explanation of workshop schedule, guidelines, and working
assumptions. Participants are encouraged to speak out. Two experiential activities were
included. The first exercise, designed to recover and process memories of resistance and
oppression, combined the use of guided visualization, dyad sharing, and small group
sharing. The second activity was designed to empower participants to resist sexual
harassment by brainstorming situations and ways to solve them. The didactic component
of the workshop, postponed to after the experiential component because of the participants are thereby encouraged to do something concrete after the workshop. For
this activity, participants worked in dyads to generate ideas for do-able next steps, choose
an idea to implement, discuss obstacles and ways to overcome them, and write a
committment which both partners sign. The closure component, designed to be short and
up-beat, was planned to be a brief role play demonstrating effective intervention in sexual
harassment. Finally, the evaluation component was implemented by means of the
evaluation and research instruments given to the participants.
assumption in this framework that people will be more receptive to learning information
after an emotional connection has been established, was quite brief because of time
constraints. It consisted simply of going over the contents of the handout packet (see
Appendices K and L), as well as informing participants o f the procedure for victims of
sexual harassment on this campus. An action component is desirable, because
",2,1,0,NA,3,"2,5",93,0.5,NA,"2,5"
Cohen,1995,Matej,Workshop B: Attitude Change/Experiential Model,Evaluation of Workshops to Counter Sexual Harassment,4,2,NA,NA,21.1,3,40.4,3,3,73,USA,MO,1,1,NA,"Design of Sexual Harassment Workshop B (Attitude Change/Experiential Model).
Workshop B (see Appendix J) was designed in consultation with Wayne Anderson, based
on the underlying assumptions that persuading people to change their attitudes about
sexual harassment will lead them to change their behaviors, people desire to hold
""correct"" attitudes (i.e. ones they believe are accurate for them), and that use of
experiential, interactive techniques will help group members feel more personally
involved with the topic material, thereby leading to central route attitude change. This
workshop was designed keeping in mind general considerations suggested by Anderson
(1981) and Pfeiffer and Jones (1973), such as the following. One of the most important
guiding considerations, investment and involvement, was operationalized by keeping
participants busy and engaged throughout the session. Sequencing was structured so that
each activity built upon the previous one. Adequate processing time was included in each
design component, assuring that pacing would be steady but challenging. Individual
participation in particular activites was made voluntary. Norms of openness,
experimentation, and sensitivity were established with guidelines early in the workshop.
Flexibility was assured by the employment of trainers experienced in the topic and
structured group techniques.
Workshop B began with brief introductory comments, a warm-up activity, and
discussion o f the schedule and guidelines. Guidelines were less extensive than those of
Workshop A, and unlike Workshop A, no working assumptions were presented in
Workshop B. Following the guidelines, there was a brief, impactful exercise to
demonstrate the scope of the problem of sexual harassment. Next, participants worked in
small, single-sex groups to define sexual harassment, after which they reported their
results to the large group for discussion. The concept that sexual harassment lies on a
continuum o f abuse was conveyed in a way that was designed to be persuasive by the
dramatic reading of a personal story, followed by small group discussions of reactions
and a lecturette. Next followed an exercise designed to forcefully convey sex differences
in precautions taken to try to ward off unwanted sexual attention, harassment, and assault;
o f course processing time in small groups was provided. Finally, small groups were
assigned the task of planning ways to handle being subjected to sexual harassment and
ways to respond when they see sexual harassment occuring.

",2,1,0,NA,3,"2,4",94,0.5,NA,"2,4"
Heppner,1995,Anne,Didactic-video,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",1,1,NA,172,18.5,5,52.3255814,3,3,93,US,NA,0,2,0.5,"Students received didactic material concerning information about the prevalence and impact of rape, rape myths, rape statistics, gender socialization, and definitions of rape and campus resources. They also watched ""Campus Rape"" and had a question and answer session.","1,2,4",1,0,NA,4,"2,9",NA,NA,NA,"2,9"
Heppner,1995,Anne,Interactive drama,"The Differential Effects of Rape Prevention Programming on Attitudes, Behavior, and Knowledge",1,1,NA,174,18.5,5,44.44444444,3,3,93,US,NA,0,2,0.5,"Students observed two acts of an improvisational theater performance. After the first, which depicts a date rape, students can ask questions of the facilitators. The students then rewrite the script by giving suggestions about how the actors can change the situation.  Students actively participated in brainstorming and ""rewriting the script.""","2,3,5",1,0,NA,4,"2,9",NA,NA,NA,"2,9"
Heppner,1995,Paloma,Elaboration Likelihood Model,Examining Sex Differences in Altering Attitudes About Rape: A Test of the Elaboration Likelihood Model,1,1,NA,305,NA,3,0.416393443,3,3,88.50%,US,NA,0,4,1,"A 1-hour rape prevention intervention was presented that included (a) didactic material concerning information on the prevalence and impact of rape, (b) a video ( Campus Rape; Rape Treatment Center, 1990) that depicts both stranger and acquaintance rape survivors who discuss the impact of rape, and (c) a brief question and answer session. This intervention was purposely designed to be typical of most rape prevention efforts on college campuses.","2,4,6",1,0,NA,7,NA,NA,NA,"9,1,5","9,1,5"
Lanier,1995,Arielle,treatment and control,Evaluation of a Date Rape Prevention Program for New Students in a Universtiy Setting,4,1,Scruples (+ role play),436,NA,5,48.62,3,3,64.6,USA,Texas,0,1,1,attended the play Scruples and participated in an interactive group role-play acitivity,"3,5",1,0,"1,3,4,5,9",5,NA,NA,NA,NA,"1,3,4,5,9"
Rosenthal,1995,Arielle,treatment and control,Changing the Rape-Supportive Attitudes of Traditional and Nontraditional Male and Female College Students,1,1,NA,245,NA,5,49.79591837,3,3,NA,USA,NA,0,1,1,live presentation given in class on rape attitudes,1,1,0,"1,9,10",5,NA,NA,NA,NA,"1,9,10"
Bonate,1996,Arielle,educational videotape,The Effects of Educational Intervention on Perceptions of Sexual Harassment,1,2,NA,63,NA,5,46.875,3,3,36,USA,NA,0,2,1,scenarios depicting sexual harassment and nonsexual harassment with commentary/narration,4,3,0,"10,11",5,NA,NA,NA,NA,"10,11"
Bonate,1996,Arielle,educational literature,The Effects of Educational Intervention on Perceptions of Sexual Harassment,1,2,NA,63,NA,5,46.875,3,3,36,USA,NA,0,2,1,"definition, examples, and statistics on sexual harassment",6,3,0,10.11,5,NA,NA,NA,NA,10.11
Earle,1996,Arielle,treatment 1,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,1,2,NA,234,NA,1,100,3,3,NA,USA,NA,0,1,0.5,"small,peer-facilitated, male, interactive group",2,NA,0,1,5,NA,NA,NA,NA,1
Earle,1996,Arielle,treatment 2,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,1,2,NA,147,NA,3,NA,3,3,NA,USA,NA,0,1,0.5,"small, professionally-facilitated, co-ed, discussion group",2,NA,0,1,5,NA,NA,NA,NA,1
Earle,1996,Arielle,treatment 3,Acquaintance Rape Workshops: Their Effectiveness in Changing the Attitudes of First Year College Men,1,2,NA,120,NA,3,NA,3,3,NA,USA,NA,0,1,0.5,"large, professsionally-facilitated, co-ed, lecture group",1,NA,0,1,5,NA,NA,NA,NA,1
Forst,1996,Anne,Didactic,Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,1,1,NA,54,23.9,5,39,3,3,89,US,Florida,0,1,0.5,"Students were provided a didactic workshop with a lecture format,  watched a video, ""Campus Rape,"" and participated in a question and answer session.","1,2,4",1,0,NA,4,"1,9",NA,NA,NA,"1,9"
Forst,1996,Anne,Theatre,Familiarity with Sexual Assault and its Relationship to the Effectiveness of Acquaintance Rape Prevention Programs,1,1,NA,54,23.9,5,39,3,3,89,US,Florida,0,1,0.5,"Students watched an improvisational theater performance. The first scene portrayed an acquaintance rape, after which students were invited to discuss and state how they would change those behaviors. After the discussion, in scene two the actors incorporated the prevention strategies and suggestions provided by the students.","2,3,5",1,0,NA,4,"1,9",NA,NA,NA,"1,9"
